trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
183,smote,0,tomeklinks,0.25,0.9975932405321575,COMPLETE,2024-04-12 00:52:05.270667,2024-04-12 00:52:35.375940,30.105273
184,ctgan,0.25,editednn,0,0.9976559248459251,COMPLETE,2024-04-12 00:52:35.390799,2024-04-12 00:53:20.374033,44.983234
185,adasyn,0.5,clustercentroid,0,-1.0,ERROR,2024-04-12 00:53:20.413438,2024-04-12 00:53:20.784743,0.371305
186,tvae,1,instancehardness,0,1.0,COMPLETE,2024-04-12 00:53:20.813842,2024-04-12 00:53:56.836058,36.022216
187,smote,0,clustercentroid,auto,1.0,COMPLETE,2024-04-12 00:53:56.854331,2024-04-12 00:54:27.728915,30.874584
188,adasyn,0.25,condensednn,0.125,-1.0,ERROR,2024-04-12 00:54:27.757103,2024-04-12 00:54:27.851062,0.093959
189,ctgan,0,editednn,0.125,0.7423364034921087,COMPLETE,2024-04-12 00:54:27.880842,2024-04-12 00:54:47.803337,19.922495
190,adasyn,auto,random,0.0625,-1.0,ERROR,2024-04-12 00:54:47.818726,2024-04-12 00:54:47.897358,0.078632
191,tvae,0.25,condensednn,0.0625,0.9976728141599723,COMPLETE,2024-04-12 00:54:47.914273,2024-04-12 00:55:14.138294,26.224021
192,adasyn,0.25,nearmiss,0.5,-1.0,ERROR,2024-04-12 00:55:14.166556,2024-04-12 00:55:14.227830,0.061274
193,ctgan,0.5,clustercentroid,0.0625,0.9976575303753685,COMPLETE,2024-04-12 00:55:14.248387,2024-04-12 01:00:26.786597,312.53821
194,random,2,condensednn,0.25,0.9930058135382943,COMPLETE,2024-04-12 01:00:26.816377,2024-04-12 01:03:17.354719,170.538342
195,ctgan,auto,onesidedselection,0,1.0,COMPLETE,2024-04-12 01:03:17.391782,2024-04-12 01:04:45.557108,88.165326
196,smote,0.5,tomeklinks,0,0.9975932405321575,COMPLETE,2024-04-12 01:04:45.578456,2024-04-12 01:05:44.163267,58.584811
197,copulagan,1,clustercentroid,0.5,1.0,COMPLETE,2024-04-12 01:05:44.210068,2024-04-12 01:06:40.615347,56.405279
198,random,0.25,condensednn,auto,1.0,COMPLETE,2024-04-12 01:06:40.633290,2024-04-12 01:07:00.611549,19.978259
199,copulagan,1,condensednn,0.125,0.9976779254021656,COMPLETE,2024-04-12 01:07:00.625549,2024-04-12 01:12:12.859124,312.233575
200,copulagan,2,condensednn,auto,1.0,COMPLETE,2024-04-12 01:12:12.887126,2024-04-12 01:14:39.343250,146.456124
201,smote,1,editednn,0,0.9952134861168302,COMPLETE,2024-04-12 01:14:39.369534,2024-04-12 01:15:13.845359,34.475825
202,ctgan,0.25,instancehardness,0.5,1.0,COMPLETE,2024-04-12 01:15:13.872232,2024-04-12 01:15:51.620306,37.748074
